Slide,Scene,Number of cells,Area µm^2,name_of_class,calibs,384_software_well,Column,384_hardware_well,samples_and_wells,well check,96_well,raw_file_name
2,1,207,43055,control_region1,"calib1, calib2, calib3",C3,3,C4,"'control_region1':'C3',",good,C3,Z:\Users\Jose\3_MassSpectrometry_Data\DVP16_P10_E01_MouseHearts\Olive_20230522_JoN_Hstdia_P10E01_control_region1_C3_1_2035.d
2,2,201,34655,control_region2,"calib1, calib2, calib3",C5,5,C6,"'control_region2':'C5',",good,C4,Z:\Users\Jose\3_MassSpectrometry_Data\DVP16_P10_E01_MouseHearts\Olive_20230522_JoN_Hstdia_P10E01_control_region2_C4_1_2038.d
2,3,220,35634,control_region3,"calib1, calib2, calib3",C7,7,C8,"'control_region3':'C7',",good,C5,Z:\Users\Jose\3_MassSpectrometry_Data\DVP16_P10_E01_MouseHearts\Olive_20230522_JoN_Hstdia_P10E01_control_region3_C5_1_2042.d
1,1,223,43647,IZ_region1,"calib1, calib2, calib3",E5,5,E6,"'IZ_region1':'E5',",looks good,D4,Z:\Users\Jose\3_MassSpectrometry_Data\DVP16_P10_E01_MouseHearts\Olive_20230522_JoN_Hstdia_P10E01_IZ_region1_D4_1_2036.d
1,2,176,37099,IZ_region2,"calib1, calib2, calib3",E7,7,E8,"'IZ_region2':'E7',",looks good,D5,Z:\Users\Jose\3_MassSpectrometry_Data\DVP16_P10_E01_MouseHearts\Olive_20230522_JoN_Hstdia_P10E01_IZ_region2_D5_1_2039.d
1,3,227,36815,IZ_region3,"calib1, calib2, calib3",E9,9,E10,"'IZ_region3':'E9',",not so good,D6,Z:\Users\Jose\3_MassSpectrometry_Data\DVP16_P10_E01_MouseHearts\Olive_20230522_JoN_Hstdia_P10E01_IZ_region3_D6_1_2043.d
1,4,270,44048,IZ_region4,"calib1, calib2, calib3",E3,3,E4,"'IZ_region4':'E3',","yes, some",D3,Z:\Users\Jose\3_MassSpectrometry_Data\DVP16_P10_E01_MouseHearts\Olive_20230522_JoN_Hstdia_P10E01_IZ_region4_D3_1_2045.d
1,1,80,15724,remote_region_1,"calib1, calib2, calib3",G3,3,G4,"'remote_region_1':'G3',",4/10,E5,Z:\Users\Jose\3_MassSpectrometry_Data\DVP16_P10_E01_MouseHearts\Olive_20230522_JoN_Hstdia_P10E01_remote_region_1_E5_1_2037.d
1,2,145,25241,remote_region_2,"calib1, calib2, calib3",G5,5,G6,"'remote_region_2':'G5',",good,E4,Z:\Users\Jose\3_MassSpectrometry_Data\DVP16_P10_E01_MouseHearts\Olive_20230522_JoN_Hstdia_P10E01_remote_region_2_E4_1_2040.d
1,3,162,28807,remote_region_3,"calib1, calib2, calib3",G7,7,G8,"'remote_region_3':'G7',",good,E3,Z:\Users\Jose\3_MassSpectrometry_Data\DVP16_P10_E01_MouseHearts\Olive_20230522_JoN_Hstdia_P10E01_remote_region_3_E3_1_2044.d
1,4,163,28543,remote_region_4,"calib1, calib2, calib3",G9,9,G10,"'remote_region_4':'G9',","yes, poor",E6,Z:\Users\Jose\3_MassSpectrometry_Data\DVP16_P10_E01_MouseHearts\Olive_20230522_JoN_Hstdia_P10E01_remote_region_4_E6_1_2046.d